device_type,device_name,action_type,action_value,start_time,end_time
Camera,vis_cam_HPP,CoolerOn,True,2023-05-21 21:59:13,2023-05-22 11:37:00
Camera,vis_cam_HPP,SetCCDTemperature,-40,2023-05-21 21:59:13,2023-05-22 11:37:00
Camera,vis_cam_HPP,object,"{'object': 'Sp1048+0111', 'filter' : 'I+z', 'ra': 162.178375, 'dec': 1.1995055555555556, 'exptime': 5}",2023-05-21 22:41:40,2023-05-22 03:40:00
Dome,dome_HPP,SlewToAzimuth,"{'Azimuth' : 300}",2023-05-22 03:40:00,2023-05-22 11:37:00
Camera,vis_cam_HPP,object,"{'object': 'Sp1159-5247', 'filter' : 'I+z', 'ra': 179.86099999999996, 'dec': -52.78858611111111, 'exptime': 2}",2023-05-22 03:42:00,2023-05-22 04:34:00
Camera,vis_cam_HPP,object,"{'object': 'Sp1845-6357', 'filter' : 'i', 'ra': 281.2860833333333, 'dec': -63.96318333333333, 'exptime': 1.5}",2023-05-22 04:35:00,2023-05-22 10:35:00
Dome,dome_HPP,CloseShutter,{},2023-05-22 10:36:00,2023-05-22 11:37:00
Camera,vis_cam_HPP,calibration,"{'exptime': [0,10,15,20,25,30,60,101,120], 'n': [7,7,7,7,7,7,7,7,7]}",2023-05-22 10:37:00,2023-05-22 11:37:00
